,id,product_id,product_url,title,offer_price,mrp,description,image,tags,created_on,updated_on,Cleaned_Title
0,75251,B097Y6P9HS,https://www.amazon.in/Li-Ning-Turbo-Carbon-Strung-Racket/dp/B097Y6P9HS/ref=sr_1_2243?qid=1676981624&s=sports&sr=1-2243,Li-Ning Turbo Strung Badminton Racket,1699,3890," Player Level - Beginner   Player Type - Senior, Unisex   Max Racket Tension - 30 lbs   Playing Style - Attacking   Powerful Strikes - TB Nanometer technology combines carbon fiber and resin more closely, to provide better elasticity, stability, and durability to bring you more power in every strike.  ",https://m.media-amazon.com/images/I/41Mi7gVCq+L._SY300_SX300_.jpg,,21-02-2023,21-02-2023,li - ning turbo strung badminton racket
1,60034,B09VDQRFRV,https://www.amazon.in/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV/ref=sr_1_6611?qid=1679427804&s=sports&sr=1-6611,Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue),1549,1990, All Buckled - The Raider Max Kit Bag features a technically devised buckle to hold the straps intact.   Premium Finish - Your weapon holder deserves an outlandish look and so we have left no stone unturned to ensure it wears a polished look.   Unbreakable Zipper - The Raider Max Kit Bag is equipped with high-quality smooth zippers that wonÄôt succumb easily.   Top Material - This bag is crafted with premium lightweight tear-resistant fabric and high-grade polyester for a superior finish.   Easy Mobility - The Li-Ning Raider Max Kitbag comes with rounded stitched grip handles that give you the option of easy mobility.  ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31Jg1nOMlhL._SX300_SY300_QL70_ML2_.jpg,,16-01-2023,21-03-2023,li - ning raider max double zipper polyester badminton kit bag ( )
2,69872,B08BY28TFV,https://www.amazon.in/Li-Ning-G-Force-3900-Superlite-AYPQ114-5/dp/B08BY28TFV/ref=sr_1_318?qid=1679437948&s=sports&sr=1-318,"Li-Ning G-Force 3900 Superlite Carbon Fibre Strung Badminton Racket (Black, Gold, G4 - 4 1/2 inches)",1980,4490," Weight: 79 gm; Stabilized elastic shaft: Aramid fiber is a kind of material with high strength, high modulus, good elasticity and toughness. It is the main material of body armor and helmet   Material: Military grade carbon fiber   Li-Ning g force series is made with strong material know as ultra carbon fiber. This material gives excellent rigidity to sustain impact load at very low weight   Material: Carbon-fiber   Skill Level: Intermediate; Frame Material Type: Graphite  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41oKeN8lpxL._SX300_SY300_QL70_ML2_.jpg,,24-01-2023,21-03-2023,"li - ning g - force 3900 superlite carbon fibre strung badminton racket ( , , g4 - 4 1/2 inches )"
3,32534,B0933GM3P6,https://www.amazon.in/Li-Ning-Lockdown-Aluminum-Badminton-Shuttlecocks/dp/B0933GM3P6/ref=sr_1_3642?qid=1679439153&s=sports&sr=1-3642,Li-Ning Super Smasher Badminton Kit (2 x Li-Ning Rackets & 6 x Nylon Shuttlecocks),1299,3179, Top-quality badminton racket powered by duralumin technology for high performance.   A technically sound nylon shuttlecock engineered with a fully synthetic base.   Included Components: 2 x Strung Badminton Racket + 1 Bolt Boost Nylon Shuttlecock  ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41Ydm3sp+TL._SY300_SX300_.jpg,,06-01-2023,21-03-2023,li - ning super smasher badminton kit ( 2 x li - ning rackets & 6 x nylon shuttlecocks )
4,61711,B0881N1YTK,https://www.amazon.in/Li-Ning-Carbon-Strung-Badminton-Racket/dp/B0881N1YTK/ref=sr_1_22824?qid=1673918144&s=sports&sr=1-22824,"Li-Ning Air Force 80 Lite Carbon Fiber Strung Badminton Racket with Free Full Cover(Black/White,Pack of 1)",2850,5590," Weight: 80 gm   Tension : Upto 30 lbs   Material : Military Grade Carbon Fibre   We re-engineered the first-generation Air Force rackets. The Air Force G2 embodies lightweight military-grade material optimization. The optimization allows you to launch an attack and swiftly switch to defense at your own will, without sacrificing mobility. The Air Force G2 starts at 77 grams, and it is engineered with a flexible shaft which, helps you achieve powerful smashes. This makes the Air-Force G2 series a real force to reckon with.  ",https://m.media-amazon.com/images/I/41PAElHILQL._SX300_SY300_QL70_ML2_.jpg,,17-01-2023,17-01-2023,"li - ning air force 80 lite carbon fiber strung badminton racket with free full cover(black / , pack of 1 )"
5,63751,B091DVWNSS,https://www.amazon.in/Li-Ning-G-Force-Superlite-Ignite-Badminton/dp/B091DVWNSS/ref=sr_1_3675?qid=1674581727&s=sports&sr=1-3675,Li-Ning Ignite 7 Speed Racket- Carbon Fibre - Strung - 77 Grams. - Free Full Cover,2990,5490," Material: Full Ultralite Carbon Graphite   Weight: 77 gm   The Li-Ning G-Force Superlight Ignite 7 is a speed racket is powered by Superlight technology that makes it very light without compromising on smash power.   The racket has been carefully crafted with a High Tensile Slim Shaft for effective rebound balance and anti-torsion making way for precise power transmission.   In-box Contents: 1 x Badminton Racquet, 1 x full cover  ",https://m.media-amazon.com/images/I/41Okz9SyzUS._SX300_SY300_QL70_ML2_.jpg,,22-01-2023,24-01-2023,li - ning ignite 7 speed racket- carbon fibre - strung - 77 grams . - free full cover
6,60028,B098DXGZMG,https://www.amazon.in/Li-Ning-Mega-Power-9-Strung/dp/B098DXGZMG/ref=sr_1_330?qid=1679307823&s=sports&sr=1-330,Li-Ning Mega Power 9 - (Strung ) Aluminum Badminton Racket ( Black / Gold),499,1190, HYBRID CONSTRUCTION¬- The Li-Ning Mega Power racket has a hybrid 2 piece construction that makes the racket more balanced and sturdy with Li-Ning's meticulous craftwork. Duralumin material with a mix of Ferrum and aluminum forms a highly durable composite that withstands high tension and powerful smashes.   SMASH POWER FRAME¬- The Li-Ning Smash Power Frame technology helps improve the overall racket performance with reduced air resistance and aids in the smooth maneuverability of the racket.   WEIGHT & TENSION¬- The Li-Ning Mega Power racket weighs 95 grams and can withstand string tension of up to 24 Lbs. These factors make it an ideal badminton racket for all those starting to play the game or trying to know it better.   ULTRA SMASH SPEED SHAFT¬- The Li-Ning Mega Power racket helps balance the rebound and anti-torsion performance of the racket and facilitates smooth power transmission.   FREE FULL COVER¬- The Li-Ning Mega Power racket comes equipped with a high-quality full cover to keep it safe and secure.  ,https://m.media-amazon.com/images/I/41FUK11NavL._SX300_SY300_QL70_ML2_.jpg,,16-01-2023,20-03-2023,li - ning mega power 9 - ( strung ) aluminum badminton racket ( / )
7,32539,B08Q46TJGV,https://www.amazon.in/Li-Ning-Elite-Kit-Bag-Polyester-Multicolour/dp/B08Q46TJGV/ref=sr_1_4598?qid=1679431153&s=sports&sr=1-4598,"Li-Ning Elite X Kit-Bag, Polyester, Multicolour",902.49,2090," Material: Polyester   2 Large compartments, Thermal insulation, Padded bottom for extra safety   Versatile cushioned straps   In-Box Content: 1 Badminton Kit Bag  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41ZCOo4BRJL._SX300_SY300_QL70_ML2_.jpg,,06-01-2023,21-03-2023,"li - ning elite x kit - bag , polyester , multicolour"
8,68015,B08M65BJKR,https://www.amazon.in/Li-Ning-Carbon-Strung-Badminton-Racket/dp/B08M65BJKR/ref=sr_1_2030?qid=1679438523&s=sports&sr=1-2030,"Li-Ning Air Force 77 G2 Carbon Fiber Strung Badminton Racket with Free Full Cover(Black/Red,Pack of 1)",2961,5590," Weight: 77 gm   Tension : Upto 30 lbs   Material : Military Grade Carbon Fibre   We re-engineered the first-generation Air Force rackets. The Air Force G2 embodies lightweight military-grade material optimization. The optimization allows you to launch an attack and swiftly switch to defense at your own will, without sacrificing mobility. The Air Force G2 starts at 77 grams, and it is engineered with a flexible shaft which, helps you achieve powerful smashes. This makes the Air-Force G2 series a real force to reckon with.  ",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41up6eBY-nL._SX300_SY300_QL70_ML2_.jpg,,24-01-2023,21-03-2023,"li - ning air force 77 g2 carbon fiber strung badminton racket with free full cover(black / , pack of 1 )"
9,33522,B08Q41VPM9,https://www.amazon.in/Li-Ning-Strung-Badminton-Racket-Cover/dp/B08Q41VPM9/ref=sr_1_5135?qid=1674582288&s=sports&sr=1-5135,Li-Ning XP 777 PRO Strung Aluminum Badminton Racket with Head Cover (White/Silver),409,1190, Included Components: 1 x Strung Badminton Racket  ,https://m.media-amazon.com/images/I/31AOTdRj2HL._SX300_SY300_QL70_ML2_.jpg,,06-01-2023,24-01-2023,li - ning xp 777 pro strung aluminum badminton racket with head cover ( / )
