id,product_id,source_name,product_url,title,offer_price,mrp,brand,model,style,color,sport_type,material,height,weight,description,image,product_attributes,tags,created_on,updated_on,num_mrp,suggested_brand_id,suggested_brand_name,is_duplicate,formatted_name
104453,8.14E+12,prokicksports,https://prokicksports.com/products/yonex-aerosensa-10-feather-shuttlecock-3-cans,"Yonex Aerosensa 10 Feather Shuttlecock, 3 Cans",7015,8250,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,NULL,"Yonex Aerosensa 10 Feather Shuttlecock, 3 Cans
YONEX AEROSENSA shuttlecocks are the official shuttlecock for the world’s leading international tournaments. The precisely engineered technology in every lightweight YONEX feather shuttlecock is extensively checked and tested to guarantee consistent performance.
YONEX Feather Shuttlecocks are precision-manufactured to ensure the correct speed, distance and stability performance.



Quantity
3 Tube / 36 Shuttlecocks


Item Code
AS-10


",//cdn.shopify.com/s/files/1/0099/8224/6993/products/aeros10b.jpg?v=1676439126,null,"{""Feather Shuttlecock"",Shuttlecocks}",21-02-2023,23-03-2023,7015,NULL,yonex,FALSE,yonex_aerosensa_10_feather_shuttlecock_3_cans
944,6.94E+12,prokicksports,https://prokicksports.com/products/yonex-11488-wrist-band-navy-red-pack-of-2,"Yonex 11488 Wrist Band, Navy/Red (Pack of 2)",390,398,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,NULL,"Yonex 11488 Wrist Band, Navy/Red (Pack of 2)
Yonex Wrist Band is made of sweat wicking technology is extremely comfortable.

Yonex Wristbands are a top requirement for the complete protection and comfort of your wrist.
Made using sweat wicking technology, these wristbands provide you comfort and support
Wrist brace wrap made with high quality flexible polyester fiber that allow wrists natural movement &amp; absorbs excess moisture
Whether you're recovering from an injury or pushing yourself to the limit, the wraps will brace your wrists and protect from further injury.
In-box Contents: 2 Wristband
",//cdn.shopify.com/s/files/1/0099/8224/6993/products/11488navy-red.jpg?v=1658406788,null,"{""Badminton Wristbands"",HIDE-WHOLESALE,Yonex}",06-01-2023,23-03-2023,390,NULL,yonex,FALSE,yonex_11488_wrist_band_navyred_pack_of_2
990,6.94E+12,prokicksports,https://prokicksports.com/products/yonex-ac-152ex-badminton-net,Yonex AC 152EX Badminton Net,1745,2490,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,NULL,"Yonex AC 152EX Badminton Net
Yonex AC 152 EX Badminton Net is developed as per BWF standard which give perfect net dimensions and quality product form Yonex Brand.
This net is manufactured with 16 ply Nylon base material while to cover it leather composite material is used to give it better protection.

Material Actual Net: High Grade 16 Ply Nylon Material (Tournament Level)
Size of the net: 20 Ft X 2.5 FT X 2 CM
",//cdn.shopify.com/s/files/1/0099/8224/6993/products/41IEz9xvb0L.jpg?v=1658295222,null,"{""Badminton Net"",Yonex}",06-01-2023,23-03-2023,1745,NULL,yonex,FALSE,yonex_ac_152ex_badminton_net
1030,6.94E+12,prokicksports,https://prokicksports.com/products/yonex-ezone-98-unstrung-tennis-racquet-sky-blue,Yonex EZone 98 Tennis Racquet,15745,26240,Yonex,NULL,NULL,Sky Blue,TENNIS,HM GRAPHITE / 2G-Namd™ SPEED / VDM,NULL,305 g / 10.8 oz,"Yonex EZone 98 Unstrung Tennis Racquet, Sky Blue
ISOMETRIC - Developed over 30 years ago, the ISOMETRIC™ design increases the sweet spot by 7%*.Compared to a conventional round frame, a square-shaped ISOMETRIC™ racquet generates a larger sweet spot by optimizing the intersection of the main and cross strings.ISOMETRIC™ technology delivers greater control without sacrificing power.
LINER TECH (For Improved Power And Comfort) - Straight hole grommets elongate the strings to optimize power and comfort on off-center shots.
O.P.S (Oval Pressed Shaft) - First introduced in 1969 with the T-7000 - our first aluminum tennis racquet - the Oval Pressed Shaft (OPS) is still incorporated into our most popular racquet series today.The Oval Pressed Shaft is designed to give players more spin, control, and feel. The shaft flexes at impact, increasing dwell time and minimizing vibrations.
Vibration Dampening Mesh (VDM) - First used in our snowboards to reduce vibrations at impact, Vibration Dampening Mesh (VDM) is now used in four of our racquet series. VDM is a stretchy mesh material that is wrapped around the graphite within the grip to filter unwanted vibrations and improve touch and precision.
2G-Namd Speed - A high modulus graphite fibers are bound with a carbon nanotube (CNT) structure, reducing energy loss, which enables to transfer the energy into quick snapback.
Namd is technology developed by Nitta Co., Ltd. to uniformly disperse carbon nanotubes in carbon fiber composites.
AERO SHAPE DESIGN - An inverted frame design with a thinner frame face results in a softer racquet.



Head Size
98 sq.in.


Weight
305 g / 10.8 oz


Grip Size
G4 3/8


Length
27 in.


String Pattern
16/19


Balance Point
315 mm


Material
HM GRAPHITE / 2G-Namd™ SPEED / VDM


Color(s)
Sky Blue


",//cdn.shopify.com/s/files/1/0099/8224/6993/products/Ezone98a.jpg?v=1657279582,null,"{""Customize Tennis String"",""Tennis Racquets"",TENNIS-RACQUETS-UNSTRUNG,Yonex}",06-01-2023,23-03-2023,15745,NULL,yonex,FALSE,yonex_ezone_98_tennis_racquet
104480,8.13E+12,prokicksports,https://prokicksports.com/products/yonex-voltric-lite-20i-badminton-racquet,YONEX Voltric Lite 20i Badminton Racquet,1839,2790,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,NULL,"YONEX Voltric Lite 20i Badminton Racquet, G4
Voltric lite 20 i is conceptualized and developed with state of art technology known as the Try Voltage System. this technology is developed to improve the performance of the racket by adjusting the flexibility of the frame.

NEW BUILT-IN T-JOINT - Increased Shuttle Stability|‘NEW’ Built-in T-Joint is manufactured from a special lightweight plastic combined with epoxy resin and foaming agent that enhances quality and performance by increasing the stability of the shuttle on the string bed and through the air.
ISOMETRIC - Enlarged Sweet Spot compared to a conventional round frame, a square-shaped ISOMETRIC racquet generates a larger sweet spot by optimizing the intersection of the main and cross strings. ISOMETRIC delivers greater control without sacrificing power.
AERO+BOX FRAME - Combines solid hitting feel and quick swing.
Control Support CAP - Sharp Maneuverability.The control support cap provides an 88% wider flat surface compared with an ordinary racquet for easier gripping, fast follow-through and the sharpest maneuverability.
NEW GROMMET PATTERN - High-Performance.The single-pass grommet hole construction provides more grommet holes for a more high-performance stringing pattern.
TRI-VOLTAGE SYSTEM - Explosive Force.Traditionally, extra weight at the top of the racquet frame has increased hitting power but reduced the speed of racquet handling. In contrast, a lighter top to the frame increases speed but causes a loss of hitting power.
Strung Type:- Strung
Grip Size: G4 - 8.25 cm
Weight: 77
",//cdn.shopify.com/s/files/1/0099/8224/6993/products/YonexVoltric20IBLUGUN11.jpg?v=1675940901,null,"{""77 Grams"",""Badminton Racquets"",""Customize Badminton String"",G4,""Head Heavy"",Intermediate,Offensive,Strung,""Upto 30 Lbs"",Voltric}",21-02-2023,23-03-2023,1839,NULL,yonex,FALSE,yonex_voltric_lite_20i_badminton_racquet
1069,6.93E+12,prokicksports,https://prokicksports.com/products/yonex-ezone-jr19-strung-tennis-racquetg04-bright-blue,"Yonex EZone JR19 Strung Tennis Racquet(G04) , Bright Blue",1609,2300,Yonex,NULL,NULL,NULL,TENNIS,NULL,NULL,175 g g,"Yonex EZone JR19 Strung Tennis Racquet(G04) , Bright Blue
The junior version of YONEX EZONE racquet. With a decreased length, this extraordinary racquet turns out to be progressively open to a tip top exceptional age. With an ideal mix of intensity and control, this is a good fit for any junior age 3-5 looking to make serious improvements on the court. This racquet comes pre-hung and with a complimentary safeguard, getting you on the court and winning as quick as could be expected under the circumstances.



Head Size
80 sq. in


Length
19 inches


Strung Weight
175 g g


Composition
Aluminum


",//cdn.shopify.com/s/files/1/0099/8224/6993/products/jr_15b51cf2-b05a-45dd-ae93-5adc06679df5.jpg?v=1656760237,null,"{""Customize Tennis String"",Recreational,""Tennis Racquets"",TENNIS-RACQUETS-STRUNG,Yonex}",06-01-2023,23-03-2023,1609,NULL,yonex,FALSE,yonex_ezone_jr19_strung_tennis_racquetg04__bright
1185,6.90E+12,prokicksports,https://prokicksports.com/products/yonex-srg-711-elastic-ankle-support-beige,"Yonex SRG 711 Elastic Ankle Support, Beige",385,449,Yonex,NULL,NULL,NULL,Exercise and Fitness,NULL,NULL,NULL,"Yonex SRG 711 Elastic Ankle Support, Beige
Orthopaedic elastic support for tired muscles and torn ligaments. Offers pain relief for injured ankle. Provides compression and support for weak ankle joint.

In-box Contents: 1 nos
Elastic orthopaedic support
yonex elastic supporters are designed, engineered and manufactured to be flexible and functional. They provide support and protection with gentle compression at targeted areas
Effective support for tired muscles and torn ligaments
",//cdn.shopify.com/s/files/1/0099/8224/6993/products/IMG_20220607_151509.jpg?v=1654602746,null,"{""ankle support"",""Ankle supports"",Supports,Yonex}",06-01-2023,23-03-2023,385,NULL,yonex,FALSE,yonex_srg_711_elastic_ankle_support_beige
5117,3.01E+12,prokicksports,https://prokicksports.com/products/nanoray6000i-blue,Yonex Nanoray 6000I G4-U Badminton Racquet (Blue),1499,1999,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,"87 gms, G4","Yonex Nanoray 6000I G4-U Badminton Racquet (Blue)


   


Delivery
3-7 days


Weight / Grip size
87 gms, G4


Strung
Yes


Stringing Advice
16 - 20 lbs


Cover Included
Yes



 
YONEX Nanoscience achieves precise control over racquet functions at the molecular level, creating ultra-lightweight racquets that are thinner, stronger and more stable for maximum power and speed from swing energy. Selecting the correct racquet is a vital part of maximising your potential on court. With the YONEX Racquet Matrix, you can be 100% that the racquet in your hand is the perfect choice for your game.",//cdn.shopify.com/s/files/1/0099/8224/6993/products/71gwDAKug9L._SL1500.jpg?v=1575749061,null,"{""84 Grams"",""Badminton Racquets"",""Customize Badminton String"",Defensive,G4,""Head Light"",Intermediate,Nanoray,Strung,""Upto 20 Lbs""}",06-01-2023,23-03-2023,1499,NULL,yonex,FALSE,yonex_nanoray_6000i_g4u_badminton_racquet
1959,6.76E+12,prokicksports,https://prokicksports.com/products/yonex-sj-q017-badminton-shorts-deep-drive,"Yonex SJ-Q017 1955 Badminton Shorts, Deep Drive",895,1049,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,NULL,"Yonex SJ-Q017 1955 Badminton Shorts, Deep Drive 
YONEX SJ Q017 1955 Badminton Shorts 

The Yonex tournament shorts are the number one choice for many players
They are manufactured from 100% polyester and feature the very cool mesh and better ventilation properties than cotton meaning that the faster you move around the court, the cooler you get
The Yonex 1955 tournament shorts also feature small Yonex logo at the bottom of the left leg







Material : 100% Polyester








Latest fabric technology








Durable and Comfortable







",//cdn.shopify.com/s/files/1/0099/8224/6993/products/4_2.jpg?v=1641903523,null,"{""Kid's Clothing"",""Kids shorts"",Yonex}",06-01-2023,23-03-2023,895,NULL,yonex,FALSE,yonex_sjq017_1955_badminton_shorts_deep_drive
5122,3.01E+12,prokicksports,https://prokicksports.com/products/4549317413418-1,"Yonex Mavis 200i Nylon Shuttle Cock, Yellow - 1 Can",0,475,Yonex,NULL,NULL,NULL,BADMINTON,NULL,NULL,NULL,"Developed using the flight timing of feather shuttlecocks, Mavis nylon shuttlecocks are precision designed and manufactured to provide accurate flight performance When smashed, a Mavis shuttlecock recovers in only 0.02 seconds. This performance is just 0.005 seconds slower than a Yonex feather shuttlecock and 0.08 seconds faster than the recovery of an ordinary shuttlecock The combination of close-to-feather shuttlecock flight performance and four to five times more durability than an ordinary nylon shuttlecock makes the Yonex Mavis series the most cost-effective choice for practice sessions.",//cdn.shopify.com/s/files/1/0099/8224/6993/products/71WJuyRf-VL._SL1500.jpg?v=1575748996,null,"{badminton,ball,Brand_Yonex,HIDE-WHOLESALE,""Nylon shuttlecock"",""racquet sport"",shuttlecock,Shuttlecocks,Yonex}",06-01-2023,23-03-2023,0,NULL,yonex,FALSE,yonex_mavis_200i_nylon_shuttle_cock_1_can
