,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
0,li-ning turbo strung badminton racket,1699.0,3890.0,,,,,li-ning turbo strung badminton racket,,,No,
1,li-ning turbo strung badminton racket,1563.08,3890.0,,,,,li-ning turbo strung badminton racket,,,No,
2,li-ning turbo strung badminton racket,1441.28,3890.0,,,,,li-ning turbo strung badminton racket,,,No,
3,li-ning turbo strung badminton racket,1554.55,3890.0,,,,,li-ning turbo strung badminton racket,,,No,
4,li-ning turbo strung badminton racket,1444.15,3890.0,,,,,li-ning turbo strung badminton racket,,,No,
5,li-ning raider max double zipper polyester badminton kit bag (blue),1549.0,1990.0,,,,,li-ning raider max double zipper polyester badminton kit bag,blue,,No,
6,"li-ning g-force 3900 superlite carbon fibre strung badminton racket (black, gold, g4 - 4 1/2 inches)",1980.0,4490.0,,,,,li-ning g-force 3900 superlite carbon fibre strung badminton racket,"black, gold",,No,
7,li-ning super smasher badminton kit (2 x li-ning rackets & 6 x nylon shuttlecocks),1299.0,3179.0,,,,,li-ning super smasher badminton kit,,,No,
8,"li-ning air force 80 lite carbon fiber strung badminton racket with free full cover(black/white,pack of 1)",2850.0,5590.0,,,,,li-ning air force 80 lite carbon fiber strung badminton racket with free full cover,"black, white",pack of 1,No,
9,li-ning ignite 7 speed racket- carbon fibre - strung - 77 grams. - free full cover,2990.0,5490.0,,,,,li-ning ignite 7 speed racket- carbon fibre - strung - 77 grams. - free full cover,,,No,
10,li-ning mega power 9 - (strung ) aluminum badminton racket ( black / gold),499.0,1190.0,,,,,li-ning mega power 9 - aluminum badminton racket,"black, gold",,No,
11,"li-ning elite x kit-bag, polyester, multicolour",902.49,2090.0,,,,,"li-ning elite x kit-bag, polyester, multicolour",,,No,
12,"li-ning air force 77 g2 carbon fiber strung badminton racket with free full cover(black/red,pack of 1)",2961.0,5590.0,,,,,li-ning air force 77 g2 carbon fiber strung badminton racket with free full cover,"black, red",pack of 1,No,
13,li-ning xp 777 pro strung aluminum badminton racket with head cover (white/silver),409.0,1190.0,,,,,li-ning xp 777 pro strung aluminum badminton racket with head cover,"white, silver",,No,
14,li-ning aluminum xp 2020 badminton racket (yellow) -set of 2,879.0,2180.0,,,,,li-ning aluminum xp 2020 badminton racket -set of 2,yellow,,No,
15,"li-ning wind lite 800 carbon fiber strung badminton racket with free full cover(set of 1,black/orange)",3059.0,5990.0,,,,,li-ning wind lite 800 carbon fiber strung badminton racket with free full cover,"black, orange",,No,
16,li-ning air force 77 g2 carbon fibre unstrung badminton racket with free full cover,2990.0,5590.0,,,,,li-ning air force 77 g2 carbon fibre unstrung badminton racket with free full cover,,,No,
17,li-ning g-force superlite max 9 carbon fibre strung badminton racket with full cover (black and red),2090.0,4990.0,,,,,li-ning g-force superlite max 9 carbon fibre strung badminton racket with full cover,"black, red",,No,
18,li-ning g-force extra strong 9500 carbon graphite badminton racket with full racket cover,3890.0,7490.0,,,,,li-ning g-force extra strong 9500 carbon graphite badminton racket with full racket cover,,,No,
19,li-ning turbo charging z boost carbon fibre strung(navy/silver) badminton racket with free full cover,4190.0,7790.0,,,,,li-ning turbo charging z boost carbon fibre strung badminton racket with free full cover,"navy, silver",,No,
20,"li-ning turbo 99 unstrung carbon fiber badminton racket with full cover (black, red)",1597.0,4590.0,,,,,li-ning turbo 99 unstrung carbon fiber badminton racket with full cover,"black, red",,No,
21,li-ning ss-g5 series carbon-graphite strung badminton racquet with free racket cover,1790.0,3990.0,,,,,li-ning ss-g5 series carbon-graphite strung badminton racquet with free racket cover,,,No,
22,li-ning ss-g5 series carbon-graphite strung badminton racquet with free racket cover,1590.0,3990.0,,,,,li-ning ss-g5 series carbon-graphite strung badminton racquet with free racket cover,,,No,
23,li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover(80 grams. 30 lbs),2090.0,4990.0,,,,,li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover,,,No,
24,li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover(80 grams. 30 lbs),2090.0,4990.0,,,,,li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover,,,No,
25,li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover(80 grams. 30 lbs),2090.0,4990.0,,,,,li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover,,,No,
26,"li-ning wind lite 700 carbon fibre unstrung badminton racket with free full cover, black/gold, s1",3245.0,5990.0,,,,,"li-ning wind lite 700 carbon fibre unstrung badminton racket with free full cover, /, s1","black, gold",,No,
27,li-ning all star single zip badminton polyester kit bag (black),699.0,1299.0,,,,,li-ning all star single zip badminton polyester kit bag,black,,No,
28,li-ning g-tek gx graphite strung badminton racquet with free racket cover,1080.0,2590.0,,,,,li-ning g-tek gx graphite strung badminton racquet with free racket cover,,,No,
29,li-ning g-tek gx graphite strung badminton racquet with free racket cover,999.0,2590.0,,,,,li-ning g-tek gx graphite strung badminton racquet with free racket cover,,,No,
30,li-ning gp-20 polyurethane badminton racquets grip 3pc (multicolor),250.0,395.0,,,,,li-ning gp-20 polyurethane badminton racquets grip 3pc,multicolor,,No,
31,li-ning gp 25 supergrip velvet touch badminton racquet over grip (pack of 5) (multicolour),455.0,499.0,,,,,li-ning gp 25 supergrip velvet touch badminton racquet over grip,,pack of 5,No,
32,li-ning xp 2020 set of 2 blue,1473.0,2180.0,,,,,li-ning xp 2020 set of 2,blue,,No,
33,"li-ning 3d calibar x drive carbon graphite strung badminton racquet, 82 grams, 30 lbs string tension and free full cover(dark grey/gold)",4269.0,7990.0,,,,,"li-ning 3d calibar x drive carbon graphite strung badminton racquet, 82 grams, 30 lbs string tension and free full cover","grey, gold",,No,
34,li-ning gp-20 badminton racquet grip,369.0,399.0,,,,,li-ning gp-20 badminton racquet grip,,,No,
35,li-ning 260 wristband (black),289.0,499.0,,,,,li-ning 260 wristband,black,,No,
36,li-ning flash triple zipper polyester badminton kit bag,1599.0,2790.0,,,,,li-ning flash triple zipper polyester badminton kit bag,,,No,
37,li-ning flash triple zipper polyester badminton kit bag,1479.0,2790.0,,,,,li-ning flash triple zipper polyester badminton kit bag,,,No,
38,li-ning flash triple zipper polyester badminton kit bag,1599.0,2790.0,,,,,li-ning flash triple zipper polyester badminton kit bag,,,No,
39,li-ning xp 888-srikanth signature series aluminum-alloy isometric strung badminton racquet (navy/green) with cover,499.0,1190.0,,,,,li-ning xp 888-srikanth signature series aluminum-alloy isometric strung badminton racquet with cover,"navy, green",,No,
40,li-ning panther double zipper polyester badminton kit bag,1349.0,1890.0,,,,,li-ning panther double zipper polyester badminton kit bag,,,No,
41,li-ning diwali gift pack with shuttles,1329.0,3379.0,,,,,li-ning diwali gift pack with shuttles,,,No,
42,"li-ning xp-70-iv strung badminton racquet (black/gold, s2, 90-95 grams, 18-20 lbs)",879.0,1790.0,,,,,li-ning xp-70-iv strung badminton racquet,"black, gold",,No,
43,"li-ning windstorm 78+ badminton racket carbon-graphite, unstrung (black/silver/blue)",6999.0,10990.0,,,,,"li-ning windstorm 78+ badminton racket carbon-graphite, unstrung","black, silver, blue",,No,
44,"li-ning carbon fibre super series 900 strung badminton racket (84 grams, navy/gold)",1327.63,4290.0,,,,,li-ning carbon fibre super series 900 strung badminton racket,"navy, gold",,No,
45,"li-ning super series 900 strung badminton racket with free full cover (84 grams, red/grey)",1638.38,4290.0,,,,,li-ning super series 900 strung badminton racket with free full cover,"red, grey",,No,
46,"li-ning super series 2020 - (strung) badminton racquets with free full cover graphite, strung (navy/blue) with free full cover",1990.0,4490.0,,,,,"li-ning super series 2020 - badminton racquets with free full cover graphite, strung with free full cover","navy, blue",,No,
47,li-ning air force 78 g2 carbon fiber strung badminton racket with full cover (black/silver),2708.0,5590.0,,,,,li-ning air force 78 g2 carbon fiber strung badminton racket with full cover,"black, silver",,No,
48,li-ning carbon fiber g-force extra strong 9000 strung badminton racket with full cover (black/gold),3490.0,6990.0,,,,,li-ning carbon fiber g-force extra strong 9000 strung badminton racket with full cover,"black, gold",,No,
49,"li-ning xp-70-iv aluminum strung badminton racquet (black/gold , s2 , 90-95 grams , 18-20 lbs)",702.0,1980.0,,,,,li-ning xp-70-iv aluminum strung badminton racquet,"black, gold",,No,
50,"li-ning blaze 100 carbon fibre strung badmiton racket with free full cover (pearl white/blue/pink, 78 grams)",3399.0,5590.0,,,,,li-ning blaze 100 carbon fibre strung badmiton racket with free full cover,"white, blue, pink",,No,
