normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,best_price_platform
li-ning turbo strung badminton racket,1699.0,3890.0,,,,,Amazon
li-ning turbo strung badminton racket,1563.08,3890.0,,,,,Amazon
li-ning turbo strung badminton racket,1441.28,3890.0,,,,,Amazon
li-ning turbo strung badminton racket,1554.55,3890.0,,,,,Amazon
li-ning turbo strung badminton racket,1444.15,3890.0,,,,,Amazon
li-ning raider max double zipper polyester badminton kit bag (blue),1549.0,1990.0,,,,,Amazon
"li-ning g-force 3900 superlite carbon fibre strung badminton racket (black, gold, g4 - 4 1/2 inches)",1980.0,4490.0,,,,,Amazon
li-ning super smasher badminton kit (2 x li-ning rackets & 6 x nylon shuttlecocks),1299.0,3179.0,,,,,Amazon
"li-ning air force 80 lite carbon fiber strung badminton racket with free full cover(black/white,pack of 1)",2850.0,5590.0,,,,,Amazon
li-ning ignite 7 speed racket- carbon fibre - strung - 77 grams. - free full cover,2990.0,5490.0,,,,,Amazon
li-ning mega power 9 - (strung ) aluminum badminton racket ( black / gold),499.0,1190.0,,,,,Amazon
"li-ning elite x kit-bag, polyester, multicolour",902.49,2090.0,,,,,Amazon
"li-ning air force 77 g2 carbon fiber strung badminton racket with free full cover(black/red,pack of 1)",2961.0,5590.0,,,,,Amazon
li-ning xp 777 pro strung aluminum badminton racket with head cover (white/silver),409.0,1190.0,,,,,Amazon
li-ning aluminum xp 2020 badminton racket (yellow) -set of 2,879.0,2180.0,,,,,Amazon
"li-ning wind lite 800 carbon fiber strung badminton racket with free full cover(set of 1,black/orange)",3059.0,5990.0,,,,,Amazon
li-ning air force 77 g2 carbon fibre unstrung badminton racket with free full cover,2990.0,5590.0,,,,,Amazon
li-ning g-force superlite max 9 carbon fibre strung badminton racket with full cover (black and red),2090.0,4990.0,,,,,Amazon
li-ning g-force extra strong 9500 carbon graphite badminton racket with full racket cover,3890.0,7490.0,,,,,Amazon
li-ning turbo charging z boost carbon fibre strung(navy/silver) badminton racket with free full cover,4190.0,7790.0,,,,,Amazon
"li-ning turbo 99 unstrung carbon fiber badminton racket with full cover (black, red)",1597.0,4590.0,,,,,Amazon
li-ning ss-g5 series carbon-graphite strung badminton racquet with free racket cover,1790.0,3990.0,,,,,Amazon
li-ning ss-g5 series carbon-graphite strung badminton racquet with free racket cover,1590.0,3990.0,,,,,Amazon
li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover(80 grams. 30 lbs),2090.0,4990.0,,,,,Amazon
li-ning g-force superlite max 9 carbon fibre badminton racket with free full cover(80 grams. 30 lbs),2090.0,4990.0,,,,,Amazon
