,Unnamed: 0,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
317,317,"yonex aerosensa 10 feather shuttlecock, 3 cans",,,7015.0,8250.0,,,"yonex aerosensa 10 feather shuttlecock, 3 cans",,,No,
318,318,"yonex 11488 wrist band, navy/red (pack of 2)",,,390.0,398.0,,,"yonex 11488 wrist band, /","navy, red",pack of 2,No,
319,319,yonex ac 152ex badminton net,,,1745.0,2490.0,,,yonex ac 152ex badminton net,,,No,
320,320,yonex ezone 98 tennis racquet,,,15745.0,26240.0,,,yonex ezone 98 tennis racquet,,,No,
321,321,yonex voltric lite 20i badminton racquet,,,1839.0,2790.0,,,yonex voltric lite 20i badminton racquet,,,No,
322,322,"yonex ezone jr19 strung tennis racquet(g04) , bright blue",,,1609.0,2300.0,,,"yonex ezone jr19 strung tennis racquet , bright",blue,,No,
323,323,"yonex srg 711 elastic ankle support, beige",,,385.0,449.0,,,"yonex srg 711 elastic ankle support,",beige,,No,
324,324,yonex nanoray 6000i g4-u badminton racquet (blue),,,1499.0,1999.0,,,yonex nanoray 6000i g4-u badminton racquet,blue,,No,
325,325,"yonex sj-q017 1955 badminton shorts, deep drive",,,895.0,1049.0,,,"yonex sj-q017 1955 badminton shorts, deep drive",,,No,
326,326,"yonex mavis 200i nylon shuttle cock, yellow - 1 can",,,0.0,475.0,,,"yonex mavis 200i nylon shuttle cock, - 1 can",yellow,,No,
327,327,"yonex 1597 round neck t-shirt and short set for junior, blue atoll",,,1635.0,2180.0,,,"yonex 1597 round neck t-shirt and short set for junior, atoll",blue,,No,
328,328,zr series aluminium strung badminton racquet with full cover (yellow),,,599.0,750.0,,,zr series aluminium strung badminton racquet with full cover,yellow,,No,
329,329,"yonex mavis shuttlecock pack of 12 combo (1 can mavis200i, pack of 6 + 1 can mavis2000, pack of 6)",,,995.0,1740.0,,,yonex mavis shuttlecock combo,,pack of 12,No,
330,330,"yonex mavis shuttlecock pack of 12 combo (1 can mavis200i, pack of 6 + 1 can mavis350, pack of 6)",,,995.0,1740.0,,,yonex mavis shuttlecock combo,,pack of 12,No,
331,331,"yonex aerosensa 10 feather shuttlecock, 2 cans",,,4675.0,5500.0,,,"yonex aerosensa 10 feather shuttlecock, 2 cans",,,No,
332,332,"yonex sj-q017 1955 badminton shorts, steel gray",,,895.0,1049.0,,,"yonex sj-q017 1955 badminton shorts, steel gray",,,No,
333,333,yonex astrox 7 dg badminton racquet - black/blue,,,4935.0,7050.0,,,yonex astrox 7 dg badminton racquet - /,"black, blue",,No,
334,334,"yonex badminton racquet astrox lite 21i-5u5, black",,,2095.0,2990.0,,,"yonex badminton racquet astrox lite 21i-5u5,",black,,No,
335,335,yonex aerosensa 2 badminton feather shuttlecock (5 cans),,,9303.0,12450.0,,,yonex aerosensa 2 badminton feather shuttlecock,,,No,
336,336,"yonex 11488 wrist band, royal blue/white (pack of 2)",,,390.0,398.0,,,"yonex 11488 wrist band, royal /","blue, white",pack of 2,No,
337,337,yonex astrox 100 game strung badminton racket,,,5789.0,8390.0,,,yonex astrox 100 game strung badminton racket,,,No,
338,338,yonex ac133ex strong grap synthetic over grip,,,349.0,385.0,,,yonex ac133ex strong grap synthetic over grip,,,No,
339,339,yonex mavis 350 green cap nylon shuttlecock - 1 can,,,1099.0,1265.0,,,yonex mavis 350 cap nylon shuttlecock - 1 can,green,,No,
340,340,yonex exbolt63 badminton string (yellow),,,979.0,1030.0,,,yonex exbolt63 badminton string,yellow,,No,
341,341,"yonex astrox 01 ability strung badminton racquet, g4 - red",,,1975.0,3590.0,,,"yonex astrox 01 ability strung badminton racquet, g4 -",red,,No,
342,342,yonex 2317 easy22 junior round neck t-shirt,,,929.0,1090.0,,,yonex 2317 easy22 junior round neck t-shirt,,,No,
343,343,yonex bg 65 titanium badminton string - titanium,,,589.0,590.0,,,yonex bg 65 titanium badminton string - titanium,,,No,
344,344,yonex ac137-3ex super grap tough synthetic badminton over grip,,,855.0,950.0,,,yonex ac137-3ex super grap tough synthetic badminton over grip,,,No,
345,345,"yonex astrox 01 clear strung badminton racquet, blue",,,2205.0,3150.0,,,"yonex astrox 01 clear strung badminton racquet,",blue,,No,
346,346,"yonex 1536 round neck t-shirt for men, scarlet ibis",,,725.0,850.0,,,"yonex 1536 round neck t-shirt for men, scarlet ibis",,,No,
347,347,"yonex gr 303i strung badminton racket, white",,,599.0,750.0,,,"yonex gr 303i strung badminton racket,",white,,No,
348,348,"yonex zr 111 light aluminium badminton racquet with full cover, lime",,,599.0,750.0,,,"yonex zr 111 light aluminium badminton racquet with full cover,",lime,,No,
349,349,"yonex 2231 badminton tournament bag ,black/rich gold",,,3985.0,6190.0,,,"yonex 2231 badminton tournament bag ,/rich","black, gold",,No,
350,350,"yonex 26025 skirt for women, gold yellow",,,1185.0,1390.0,,,"yonex 26025 skirt for women,","gold, yellow",,No,
351,351,"yonex 1133 skirt for women, flamingo pink",,,1269.0,1490.0,,,"yonex 1133 skirt for women, flamingo",pink,,No,
352,352,"yonex arcsaber 71 light strung badminton racquet, g4 - gold",,,2375.0,3390.0,,,"yonex arcsaber 71 light strung badminton racquet, g4 -",gold,,No,
353,353,yonex astrox 99 pro badminton racket,,,14415.0,20590.0,,,yonex astrox 99 pro badminton racket,,,No,
354,354,yonex sports track pants - royal blue,,,1110.0,1590.0,,,yonex sports track pants - royal,blue,,No,
355,355,yonex bg 65 titanium badminton strings - pack of 10 strings,,,5596.0,5900.0,,,yonex bg 65 titanium badminton strings - strings,,pack of 10,No,
356,356,"yonex astrox 88s pro unstrung badminton racquet, (black,blue)",,,11485.0,18890.0,,,"yonex astrox 88s pro unstrung badminton racquet,","black, blue",,No,
357,357,yonex gr 303 badminton racquet with full cover - yellow,,,639.0,800.0,,,yonex gr 303 badminton racquet with full cover -,yellow,,No,
358,358,yonex power cushion cascade drive badminton shoes,,,10045.0,13390.0,,,yonex power cushion cascade drive badminton shoes,,,No,
359,359,yonex mavis 200i shuttlecock combo (5 cans),,,1990.0,2100.0,,,yonex mavis 200i shuttlecock combo,,,No,
360,360,yonex gr 303 saina nehwal special edition badminton racquet - black,,,599.0,750.0,,,yonex gr 303 saina nehwal special edition badminton racquet -,black,,No,
361,361,yonex ezone sonic tennis racquet,,,7150.0,11000.0,6549.0,11000.0,yonex ezone sonic tennis racquet,,,No,
362,362,yonex vcore ace tennis racquet,,,4949.0,8390.0,4949.0,8390.0,yonex vcore ace tennis racquet,,,No,
363,363,yonex ezone ace tennis racquet,,,4995.0,8390.0,4949.0,8390.0,yonex ezone ace tennis racquet,,,No,
364,364,"yonex badminton polo t shirt for junior, high risk red",,,1405.0,1650.0,,,"yonex badminton polo t shirt for junior, high risk",red,,No,
365,365,"yonex nanoray 70 light graphite strung badminton racquet, g4 - green",,,1945.0,3390.0,,,"yonex nanoray 70 light graphite strung badminton racquet, g4 -",green,,No,
366,366,"yonex sunr 2225 badminton kitbag, black/royal blue",,,955.0,1490.0,,,"yonex sunr 2225 badminton kitbag, /royal","black, blue",,No,
367,367,"yonex astrox 99 tour strung badminton racquet, 4u5",,,8669.0,12390.0,,,"yonex astrox 99 tour strung badminton racquet, 4u5",,,No,
368,368,yonex badminton racquet astrox 22 lt,,,5909.0,9090.0,,,yonex badminton racquet astrox 22 lt,,,No,
369,369,yonex muscle power 33 light badminton racquet,,,3075.0,4390.0,,,yonex muscle power 33 light badminton racquet,,,No,
370,370,yonex akayu super 6 badminton shoes,,,2889.0,4890.0,,,yonex akayu super 6 badminton shoes,,,No,
371,371,"yonex astrox 1 dg strung badminton racquet, 4u5 (blue/black)",,,4375.0,6250.0,,,"yonex astrox 1 dg strung badminton racquet, 4u5","blue, black",,No,
372,372,"yonex astrox 77 pro unstrung badminton racquet, g5 - high orange",,,10385.0,19595.0,,,"yonex astrox 77 pro unstrung badminton racquet, g5 - high",orange,,No,
373,373,yonex sunr as08 badminton racket bag with voltric lite 20i strung badminton racket,,,2305.0,3290.0,,,yonex sunr as08 badminton racket bag with voltric lite 20i strung badminton racket,,,No,
374,374,"yonex zr 100 light aluminum badminton racquet strung, grip size g4 (charcoal)",,,599.0,750.0,,,"yonex zr 100 light aluminum badminton racquet strung, grip size g4",charcoal,,No,
375,375,yonex eclipsion z men power cushion badminton shoes - black/red,,,8489.0,13390.0,,,yonex eclipsion z men power cushion badminton shoes - /,"black, red",,No,
376,376,"yonex shoe bag sunr msb01l-s, red/maroon",,,519.0,520.0,,,"yonex shoe bag sunr msb01l-s, /","red, maroon",,No,
377,377,yonex polo badminton t shirt - pureed pumpkin,,,1185.0,1390.0,,,yonex polo badminton t shirt - pureed pumpkin,,,No,
378,378,"yonex astrox 77 play strung badminton racquet, 4u-g5 (high orange)",,,2999.0,5190.0,,,"yonex astrox 77 play strung badminton racquet, 4u-g5",orange,,No,
379,379,yonex power cushion 65 z men badminton shoe,,,9775.0,13390.0,,,yonex power cushion 65 z men badminton shoe,,,No,
380,380,yonex aerus z men badminton shoes,,,10045.0,13390.0,,,yonex aerus z men badminton shoes,,,No,
381,381,yonex bg 66 ultimax badminton string - pack of 5 strings,,,3390.0,3675.0,,,yonex bg 66 ultimax badminton string - strings,,pack of 5,No,
382,382,"yonex round neck badminton t-shirt, imperial blue",,,929.0,1090.0,,,"yonex round neck badminton t-shirt, imperial",blue,,No,
383,383,"yonex round neck badminton t-shirt, jet black",,,929.0,1090.0,,,"yonex round neck badminton t-shirt, jet",black,,No,
384,384,"yonex round neck badminton t-shirt, tango red",,,1015.0,1190.0,,,"yonex round neck badminton t-shirt, tango",red,,No,
385,385,"yonex round neck badminton t-shirt, poseidon",,,1015.0,1190.0,,,"yonex round neck badminton t-shirt, poseidon",,,No,
386,386,yonex sunr 2225 badminton kitbag,,,819.0,1490.0,,,yonex sunr 2225 badminton kitbag,,,No,
